Date,LongReturn_Net,ShortReturn_Net,LSReturn_Net,BenchmarkReturn,LongTurnover,LongTickers,ShortTickers,Regime_RiskOn,Regime_SGGrowth,VIX,SG_PMI,Label
2007-05-31,0.07041752408399964,-0.004157770281986901,0.06625975380201274,0.06573629718145152,0.3333333333333333,WIL SP Equity|FCT SP Equity|SCI SP Equity|UOL SP Equity|HKL SP Equity|SGX SP Equity,SATS SP Equity|VMS SP Equity|JM SP Equity|STE SP Equity|CIT SP Equity|DFI SP Equity,1.0,0,14.22,49.7,Full
2007-06-30,0.0298854120280109,-0.04574771327522546,-0.015862301247214564,0.02906075638123689,0.3333333333333333,FCT SP Equity|WIL SP Equity|GENS SP Equity|SCI SP Equity|SGX SP Equity|THBEV SP Equity,ST SP Equity|VMS SP Equity|STE SP Equity|CIT SP Equity|DFI SP Equity|STM SP Equity,1.0,0,13.05,50.0,Full
2007-07-31,-0.05054103946366191,0.03400879889706971,-0.0165322405665922,-0.007084087459863152,0.3333333333333333,SCI SP Equity|FCT SP Equity|CICT SP Equity|SGX SP Equity|GENS SP Equity|UOL SP Equity,ST SP Equity|CLAR SP Equity|CIT SP Equity|STE SP Equity|VMS SP Equity|DFI SP Equity,1.0,1,16.23,52.3,Full
2007-08-31,-0.05923078941271637,0.0013307248262776157,-0.05790006458643875,-0.041076151614504536,0.16666666666666666,SGX SP Equity|SCI SP Equity|CICT SP Equity|UOL SP Equity|MLT SP Equity|FCT SP Equity,THBEV SP Equity|ST SP Equity|STE SP Equity|CIT SP Equity|WIL SP Equity|DFI SP Equity,0.0,1,23.52,53.3,Full
2007-09-30,0.14285464123281574,-0.08119978154716531,0.06165485968565043,0.0989932295287973,0.16666666666666666,SGX SP Equity|SCI SP Equity|CICT SP Equity|UOL SP Equity|MLT SP Equity|KEP SP Equity,STE SP Equity|ST SP Equity|SATS SP Equity|CIT SP Equity|JM SP Equity|DFI SP Equity,0.0,1,23.38,51.7,Full
2007-10-31,0.020979355989807803,0.007758144041590901,0.028737500031398702,0.0174923193278239,0.16666666666666666,SGX SP Equity|SCI SP Equity|UOL SP Equity|MLT SP Equity|SIA SP Equity|CICT SP Equity,CLAR SP Equity|THBEV SP Equity|GENS SP Equity|CIT SP Equity|STE SP Equity|DFI SP Equity,1.0,1,18.0,53.9,Full
2007-11-30,-0.07635865163071812,0.05010444710390223,-0.026254204526815886,-0.07154064059408016,0.16666666666666666,SGX SP Equity|SCI SP Equity|CICT SP Equity|MLT SP Equity|UOL SP Equity|WIL SP Equity,VMS SP Equity|SATS SP Equity|STE SP Equity|CIT SP Equity|GENS SP Equity|DFI SP Equity,1.0,1,18.53,52.9,Full
2007-12-31,0.014247163760686413,0.011703648773538147,0.02595081253422456,0.014871119314587069,0.16666666666666666,SGX SP Equity|SCI SP Equity|CICT SP Equity|UOL SP Equity|MLT SP Equity|HKL SP Equity,SATS SP Equity|VMS SP Equity|STE SP Equity|CIT SP Equity|GENS SP Equity|DFI SP Equity,0.0,1,22.87,53.8,Full
2008-01-31,-0.16162922227751522,0.12167093082323024,-0.03995829145428498,-0.1500144260114854,0.16666666666666666,SGX SP Equity|MLT SP Equity|JM SP Equity|HKL SP Equity|SCI SP Equity|UOL SP Equity,SATS SP Equity|STE SP Equity|CIT SP Equity|GENS SP Equity|FCT SP Equity|DFI SP Equity,0.0,1,22.5,51.0,Full
2008-02-29,-0.010850888590587516,-0.049513601301455816,-0.060364489892043335,0.03048821155540885,0.16666666666666666,SGX SP Equity|MLT SP Equity|SCI SP Equity|UOL SP Equity|HKL SP Equity|KEP SP Equity,FCT SP Equity|VMS SP Equity|CIT SP Equity|SATS SP Equity|DFI SP Equity|GENS SP Equity,0.0,1,26.2,50.5,Full
2008-03-31,-0.03114357964159348,0.015827225928249696,-0.015316353713343785,-0.010121209489533687,0.16666666666666666,SGX SP Equity|HKL SP Equity|MLT SP Equity|KEP SP Equity|SCI SP Equity|JM SP Equity,UOB SP Equity|STE SP Equity|STM SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,0.0,1,26.54,50.3,Full
